Key,english
GenericNPC_start,"Hello friend, how can I help you?"
GenericNPC_Command Menu,"Command Menu"
GenericNPC_Admin Menu,"Admin Menu"
GenericNPC_Weapon Classes,"Weapon Classes"
GenericNPC_Melee Menu,"Melee Weapons"
GenericNPC_Pistol Menu,"Pistols"
GenericNPC_Rifle Menu,"Rifles"
GenericNPC_ShotGun Menu,"Shotguns"
GenericNPC_Other Menu,"Other Weapons"
GenericNPC_Hire,"I am interested in hiring you."
GenericNPC_FollowMe,"Follow me"
GenericNPC_Dump2Log,"Dump Values to Log"
GenericNPC_ShowMe,"Show Me your inventory"
GenericNPC_StayHere,"Stay where you are standing"
GenericNPC_Wander,"Patrol around here"
GenericNPC_Patrol,"Patrol your coded route"
GenericNPC_GuardHere,"Stay where I am standing"
GenericNPC_GuardReturnHere,"Guard and return to where I am standing"
GenericNPC_SetCode,"Here is your Patrol Code"
GenericNPC_Loot,"Loot around here"
GenericNPC_Dismiss,"Dismiss"
GenericNPC_Pickup,"Pick Me up!"
GenericNPC_Weapon Menu,"Weapon Menu"
GenericNPC_Melee,"Melee Menu"
GenericNPC_Pistols,"Pistol Menu"
GenericNPC_Rifles,"Rifle Menu"
GenericNPC_ShotGuns,"ShotGun Menu"
GenericNPC_Others,"Other Menu"
GenericNPC_BareHands,"Use BareHands"
GenericNPC_Club,"Use Club"
GenericNPC_Knife,"Use Knife"
GenericNPC_Bat,"Use Bat"
GenericNPC_Spear,"Use Spear"
GenericNPC_Machete,"Use Machete"
GenericNPC_Axe,"Use Axe"
GenericNPC_SMG,"Use SMG"
GenericNPC_PipePistol,"Use PipePistol"
GenericNPC_PipeShotgun,"Use PipeShotgun"
GenericNPC_PipeRifle,"Use PipeRifle"
GenericNPC_PipeMG,"Use PipeMachinegun"
GenericNPC_M60,"Use M60"
GenericNPC_Pistol,"Use Pistol"
GenericNPC_DPistol,"Use DesertEagle"
GenericNPC_AK47,"Use AK47"
GenericNPC_TRifle,"Use AssaultRifle"
GenericNPC_HRifle,"Use HuntingR"
GenericNPC_SRifle,"Use SniperRifle"
GenericNPC_LBow,"Use Longbow"
GenericNPC_XBow,"Use Crossbow"
GenericNPC_PShotgun,"Use Shotgun"
GenericNPC_AShotgun,"Use AutoShotgun"
GenericNPC_RLauncher,"Use RLauncher"
GenericNPC_done,"Nevermind."
